DATE,TAVG,TMAX,TMIN
2007-08-15,83.0,99.0,65.0
2007-08-16,85.0,101.0,73.0
2007-08-17,82.0,94.0,70.0
2007-08-18,76.0,90.0,63.0
2007-08-19,81.0,97.0,66.0
2007-08-20,84.0,94.0,73.0
2007-08-21,80.0,91.0,74.0
2007-08-22,84.0,98.0,70.0
2007-08-23,85.0,101.0,70.0
2007-08-24,88.0,100.0,76.0
2007-08-25,81.0,94.0,71.0
2007-08-26,80.0,91.0,72.0
2007-08-27,81.0,95.0,68.0
2007-08-28,82.0,96.0,71.0
2007-08-29,77.0,96.0,70.0
2007-08-30,76.0,85.0,69.0
2007-08-31,74.0,81.0,69.0
2007-09-01,75.0,86.0,65.0
2007-09-02,78.0,90.0,65.0
2007-09-03,77.0,91.0,66.0
2007-09-04,76.0,94.0,60.0
2007-09-05,78.0,96.0,60.0
2007-09-06,80.0,92.0,67.0
2007-09-07,81.0,90.0,76.0
2007-09-08,80.0,91.0,68.0
2007-09-09,77.0,86.0,71.0
2007-09-10,74.0,82.0,71.0
2007-09-11,72.0,79.0,60.0
2007-09-12,66.0,80.0,53.0
2007-09-13,68.0,87.0,51.0
2007-09-14,69.0,76.0,65.0
2007-09-15,59.0,66.0,49.0
2007-09-16,60.0,76.0,45.0
2007-09-17,66.0,82.0,48.0
2007-09-18,69.0,84.0,55.0
2007-09-19,69.0,85.0,55.0
2007-09-20,70.0,87.0,55.0
2007-09-21,73.0,88.0,57.0
2007-09-22,76.0,89.0,67.0
2007-09-23,77.0,92.0,63.0
2007-09-24,78.0,96.0,64.0
2007-09-25,79.0,90.0,69.0
2007-09-26,75.0,89.0,65.0
2007-09-27,69.0,77.0,63.0
2007-09-28,65.0,78.0,53.0
2007-09-29,64.0,81.0,46.0
2007-09-30,65.0,84.0,47.0
2007-10-01,66.0,80.0,49.0
2007-10-02,71.0,85.0,60.0
2007-10-03,69.0,82.0,56.0
2007-10-04,72.0,83.0,64.0
2007-10-05,74.0,85.0,66.0
2007-10-06,75.0,89.0,63.0
2007-10-07,75.0,90.0,62.0
2007-10-08,74.0,90.0,60.0
2007-10-09,67.0,74.0,57.0
2007-10-10,59.0,71.0,47.0
2007-10-11,52.0,60.0,39.0
2007-10-12,56.0,65.0,45.0
2007-10-13,55.0,72.0,39.0
2007-10-14,63.0,79.0,45.0
2007-10-15,66.0,83.0,50.0
2007-10-16,66.0,74.0,59.0
2007-10-17,71.0,81.0,62.0
2007-10-18,72.0,77.0,65.0
2007-10-19,66.0,74.0,60.0
2007-10-20,59.0,72.0,48.0
2007-10-21,62.0,81.0,45.0
2007-10-22,61.0,69.0,49.0
2007-10-23,65.0,70.0,56.0
2007-10-24,55.0,60.0,50.0
2007-10-25,56.0,62.0,50.0
2007-10-26,58.0,71.0,49.0
2007-10-27,51.0,55.0,45.0
2007-10-28,53.0,60.0,45.0
2007-10-29,46.0,64.0,31.0
2007-10-30,47.0,68.0,31.0
2007-10-31,54.0,73.0,36.0
2007-11-01,53.0,62.0,43.0
2007-11-02,49.0,65.0,37.0
2007-11-03,44.0,64.0,30.0
2007-11-04,46.0,63.0,31.0
2007-11-05,54.0,72.0,32.0
2007-11-06,41.0,48.0,33.0
2007-11-07,37.0,49.0,26.0
2007-11-08,41.0,54.0,28.0
2007-11-09,51.0,63.0,40.0
2007-11-10,40.0,51.0,30.0
2007-11-11,47.0,66.0,31.0
2007-11-12,58.0,69.0,50.0
2007-11-13,56.0,60.0,52.0
2007-11-14,61.0,73.0,48.0
2007-11-15,40.0,48.0,30.0
2007-11-16,34.0,46.0,25.0
2007-11-17,45.0,60.0,31.0
2007-11-18,48.0,63.0,34.0
2007-11-19,56.0,65.0,47.0
2007-11-20,61.0,72.0,49.0
2007-11-21,63.0,72.0,55.0
2007-11-22,46.0,62.0,37.0
2007-11-23,33.0,39.0,27.0
2007-11-24,38.0,51.0,25.0
2007-11-25,49.0,55.0,40.0
