Tavg,Tmax
31.33333333,32.22222222
28.34444444,31.72222222
26.8,29
31.46666667,32.77777778
27.08,30.5
33.94444444,34.38888889
25.21111111,27.77777778
26.2,29
29.57777778,30.61111111
34.2,36
32.4,33
27.86,30
30.4,34
30.56666667,31.11111111
30.4,33
33.74,37.2
38.31944444,39.38888889
29.22222222,30.61111111
35,36
30.66666667,31.72222222
22.65555556,26.11111111
33.78,35.6
27,28.88888889
27.74,30
39.21111111,40.61111111
26.2,30
24.34,26.1
25.93333333,26.72222222
31.8,32
31.9,32.8
28.54444444,28.88888889
27.45555556,30.61111111
23,25.6
33.64444444,34.38888889
30.2,32
22.56666667,23.22222222
25.8,27
29.51111111,30
28.66666667,32.22222222
30.22,31.7
33.46666667,33.88888889
34.6,35
34.65555556,35.61111111
28.33333333,33.27777778
29.02222222,32.77777778
39.06666667,39.38888889
25.75555556,27.77777778
27.76666667,32.22222222
25.12,28.9
32.4,34
25.6,28
30.2,34
37.8,38
30,30.61111111
40.12222222,41.11111111
24.2,26
39.18,40.5
24.8,26.11111111
31.8,32
28.74,31
27.32,30
